verdict,worth,soundness,soundness_score,rubric_coverage,audited_at,unknowns,repo_url,id,name,url,event,event_org,domain,subsystem,moves,stack,coolness,engagement,validation,event_prestige,recency,specificity,signal_richness,redundancy,likes,award,depth,has_deep,event_date,harvested_at
sound-with-caveats,strong,partial,0.5094,0.64,2026-09-18,0,,audionova,AudioNova,https://devpost.com/software/audionova,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Creative Media, Story & Play",Generative Video & Audio,offline-first-fallback|make-the-invisible-measurable|privacy-as-architecture|constraint-is-the-feature,fastapi|python|react|qualcomm|qualcomm-ai-hub|whisper|clip|bluetooth,0.6567,0.806,0.550,0.380,1.000,0.520,0.750,0.059,547,Featured by Devpost Staff,deep,1,2026-09-18,2026-09-18
strong,breakthrough,verified,0.862,1.0,2026-09-19,0,https://github.com/justin-theodorus/techjam,satu,SATU: Shopping Assistant That Understands,https://devpost.com/software/satu,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Money, Commerce & Marketplaces",Retail & Conversion,,,0.4764,0.220,0.550,0.380,1.000,0.520,0.750,0.097,,Unknown,deep,1,2026-09-18,2026-09-18
sound-with-caveats,strong,partial,0.6797,0.64,2026-09-19,0,,sketchwish,SketchWish,https://devpost.com/software/sketchwish,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",Marketplace & Matching,,nextjs|react|typescript|vercel|supabase|google-oauth|cloudflare-r2|upstash|stripe|posthog,0.4577,0.140,0.100,0.820,0.951,0.860,0.750,0.097,2,Unknown,deep,1,2026-08-17,2026-09-18
sound-with-caveats,strong,partial,0.5,0.64,2026-09-19,0,,continuity-g7bty0,Continuity,https://devpost.com/software/continuity-g7bty0,Agentic Cinema: The Blockbuster Hackathon,Google,Learning & Knowledge Systems,Search & Retrieval,verification-first,cloud-build|css|docker|fastapi|firestore|gemini|google-cloud-run|google-genai|html|javascript,0.4557,0.220,0.100,0.704,0.986,0.740,0.750,0.067,,Unknown,deep,1,2026-09-09,2026-09-18
sound-with-caveats,strong,partial,0.5938,0.64,2026-09-19,0,,complianceguardian-kcqs32,ComplianceGuardian,https://devpost.com/software/complianceguardian-kcqs32,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",Regulatory & Audit Machinery,evidence-graph|deterministic-guardrail|make-the-invisible-measurable|offline-first-fallback,bigquery|cloud-build|cloud-run|cloud-scheduler|cloud-storage|cloud-tasks|cloud-workflows|docker|fastapi|firebase-auth,0.4396,0.140,0.100,0.820,0.951,0.740,0.750,0.108,2,Unknown,deep,1,2026-08-17,2026-09-18
sound-with-caveats,niche,partial,0.5,0.64,2026-09-19,0,,vitalis-bio,Vitalis Bio,https://devpost.com/software/vitalis-bio,Build with Gemini XPRIZE,XPRIZE,"Health, Care & Human Performance",Screening & Diagnostics,make-the-invisible-measurable,ai-agents|apple-healthkit|bioinformatics|biometrics|digital-health|fastapi|firestore|gemini-api|google-cloud|google-cloud-run,0.3904,0.000,0.100,0.820,0.951,0.740,0.750,0.167,0,Unknown,deep,1,2026-08-17,2026-09-18
sound-with-caveats,strong,verified,0.7734,0.64,2026-09-19,0,,greenlight-nine-agent-production-crew,Greenlight - Nine-Agent Production Crew,https://devpost.com/software/greenlight-nine-agent-production-crew,All Things Agentic Hackathon,Google,"Creative Media, Story & Play",Generative Video & Audio,make-the-invisible-measurable|crew-of-specialists|price-before-generate|model-cost-routing,clickhouse|cloud-run|cloud-storage|docker|fastapi|ffmpeg|firestore|gemini|gemini-flash|gemini-tts,0.3892,0.089,0.120,0.732,0.973,0.660,0.750,0.257,1,Submitted / No Award,deep,1,2026-08-31,2026-09-18
sound-with-caveats,strong,partial,0.5547,0.64,2026-09-19,0,,neuroguard-ai-adaptiveconcussionrecoveryintelligencesystem,NeuroGuard AI,https://devpost.com/software/neuroguard-ai-adaptiveconcussionrecoveryintelligencesystem,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,human-holds-the-last-button|deterministic-guardrail,python|fastapi|streamlit|pydantic|sqlite|faiss|render|sqlitedb|vector db,0.3863,0.220,0.100,0.467,0.978,0.540,0.750,0.129,,Unknown,deep,1,2026-09-04,2026-09-18
sound-with-caveats,niche,partial,0.5188,0.64,2026-09-19,0,,adversarial-compliance-matrix,Gemini-Box,https://devpost.com/software/adversarial-compliance-matrix,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,institutional-grade-reliability,rust|github-actions|ci/cd|security|gemini|bluetooth,0.3617,0.140,0.100,0.820,0.951,0.320,0.750,0.267,2,Unknown,deep,1,2026-08-17,2026-09-18
